Place,Movies,Latitude,Longitude
Canada,40356,61.0666922,-107.9917071
France,29241,46.603354,1.8883335
Singapore,809,1.2904753,103.8520359
Mexico,21365,19.4326009,-99.1333416
USA,351974,39.7837304,-100.4458825
Australia,23087,-24.7761086,134.755
New Zealand,2943,-41.5000831,172.8344077
Spain,27144,39.3262345,-4.8380649
India,13944,22.3511148,78.6677428
Hungary,3234,47.1817585,19.5060937
Portugal,5794,40.033265,-7.8896263
UK,73637,54.7023545,-3.2765753
Argentina,7464,-34.9964963,-64.9672817
Denmark,4766,55.670249,10.3333283
Poland,7953,52.0977181,19.0258159
Ireland,4911,52.865196,-7.9794599
Dominican Republic,1280,19.0974031,-70.3028026
Gabon,52,-0.8999695,11.6899699
Thailand,1954,14.8971921,100.83273
Norway,2832,64.5731537,11.5280364395482
Japan,7574,36.5748441,139.2394179
Chile,1438,-31.7613365,-71.3187697
Mali,170,16.3700359,-2.2900239
Netherlands,6301,52.2379891,5.53460738161551
Austria,5494,47.2000338,13.199959
Russia,4497,64.6863136,97.7453061
Germany,33420,51.0834196,10.4234469
Romania,4551,45.9852129,24.6859225
Haiti,266,19.1399952,-72.3570972
Turkey,3801,38.9597594,34.9249653
Italy,21202,42.6384261,12.674297
China,6006,35.000074,104.999927
Finland,6554,63.2467777,25.9209164
Taiwan,812,23.59829785,120.835363138175
United Arab Emirates,668,24.0002488,53.9994829
Sweden,7076,59.6749712,14.5208584
Iran,1656,32.9407495,52.9471344
Belize,145,16.8259793,-88.7600927
Indonesia,1317,-4.7993356,114.5632032
South Africa,3799,-28.8166236,24.991639
UAE,68,49.4871968,31.2718321
Switzerland,3500,46.7985624,8.2319736
Tanzania,435,-6.5247123,35.7878438
Serbia,1197,44.1534121,20.55144
Brazil,6248,-10.3333333,-53.2
Czech Republic,4518,49.8167003,15.4749544
Bulgaria,1376,42.6073975,25.4856617
Latvia,300,56.8406494,24.7537645
Israel,3605,30.8760272,35.0015196
Vietnam,687,13.2904027,108.4265113
Egypt,1624,26.2540493,29.2675469
Philippines,4478,12.7503486,122.7312101
Slovakia,1041,48.7411522,19.4528646
Bahamas,445,24.7736546,-78.0000547
Belgium,4049,50.6402809,4.6667145
Ukraine,1385,49.4871968,31.2718321
Hong Kong,248,22.2793278,114.1628131
Colombia,1243,2.8894434,-73.783892
Holland,23,52.5001698,5.7480821
Pakistan,789,30.3308401,71.247499
Morocco,1752,31.1728205,-7.3362482
Ethiopia,322,10.2116702,38.6521203
Northern France,4,-45.93942375,50.4342708961543
Georgia,581,32.3293809,-83.1137366
Malaysia,1099,2.3923759,112.8471939
Malta,485,35.8885993,14.4476911
Estonia,541,58.7523778,25.3319078
Bangladesh,1292,24.4768598,90.2932299
Southern Africa,2,37.87509175,-122.237521061503
Armenia,299,40.7696272,44.6736646
Honduras,135,15.2572432,-86.0755145
Marshall Islands,29,6.9518742,170.9985095
Bolivia,364,-17.0568696,-64.9912286
Kuwait,83,29.2733964,47.4979476
Rwanda,210,-1.9646631,30.0644358
Isle of Man,276,54.2358167,-4.51459874569825
Paraguay,203,-23.3165935,-58.1693445
Nepal,648,28.1083929,84.0917139
Slovenia,605,45.8133113,14.4808369
Cuba,1102,23.0131338,-80.8328748
Laos,102,20.0171109,103.378253
Kenya,906,1.4419683,38.4313975
South Korea,1233,36.5581914,127.9408564
Lebanon,503,33.8750629,35.843409
Libya,99,26.8234472,18.1236723
90026 USA,1,34.0737086790309,-118.264582401243
Tonga,64,-19.9160819,-175.2026424
Iraq,451,33.0955793,44.1749775
Mauritius,122,-20.2759451,57.5703566
Jamaica,544,18.1850507,-77.3947693
Azerbaijan,200,40.3936294,47.7872508
Bhutan,61,27.549511,90.5119273
Mongolia,139,46.8250388,103.8499736
Bosnia-Herzegovina,388,44.3053476,17.5961467
Iceland,1032,64.9841821,-18.1059013
Croatia,1416,45.5643442,17.0118954
Moldova,73,47.286747,28.5110236
Greece,2983,38.9953683,21.9877132
El Salvador,99,13.8000382,-88.9140683
Lithuania,493,55.3500003,23.7499997
Belarus,190,53.4250605,27.6971358
Celebes Sea,1,2.9999987,122.0
Sudan,139,14.5844444,29.4917691
Albuquerque International Sunport Airport,1,35.03766945,-106.610967521768
Yugoslavia,463,8.1939477,-64.5043374
Peru,1035,-6.8699697,-75.0458515
Tunisia,481,33.8439408,9.400138
Western Sahara,18,24.1797324,-13.7667848
Cyprus,224,34.9823018,33.1451285
Zambia,170,-14.5186239,27.5599164
Uruguay,424,-32.8755548,-56.0201525
Norfolk,3,52.666667,1.0
Sri Lanka,478,7.5554942,80.7137847
Zimbabwe,201,-18.4554963,29.7468414
Luxembourg,456,49.8158683,6.1296751
Greenland,230,71.8171799,-40.4262878367852
Samoa,39,-13.7693895,-172.1200508
Uganda,365,1.5333554,32.2166578
Senegal,247,14.4750607,-14.4529612
Wales,30,52.2928116,-3.73893
Sierra Leone,102,8.6400349,-11.8400269
Syria,226,34.6401861,39.0494106
Kingston High Street,1,33.2392797,-97.8918406
Myanmar,55,17.1750495,95.9999652
Macedonia,244,41.6171214,21.7168387
Ecuador,446,-1.3397668,-79.3666965
Eritrea,28,15.9500319,37.9999668
Hamilton ON,1,43.2425289,-79.9470423
Kashmir,34,35.2444908,58.464248
Botswana,131,-23.1681782,24.5928742
Puerto Rico,998,18.22141715,-66.4132818505648
Central African Republic,23,7.0323598,19.9981227
Africa,210,11.5024338,17.7578122
Montenegro,174,42.7728491,19.2408586
Burma,110,17.1750495,95.9999652
Monaco,328,43.7311424,7.4197576
Kyrgyzstan,76,41.5089324,74.724091
Afghanistan,428,33.7680065,66.2385139
Mumbai,76,18.9387711,72.8353355
Antarctica,188,-79.4063075,0.3149312
Qatar,86,25.3336984,51.2295295
Kosovo,145,42.5869578,20.9021231
Southern Ocean,30,-59.9999999,89.9999999
French Polynesia,264,-18.6243749,-144.6434898
